"region","zonename","zone","woredaname","woreda","local_unit","conversion"
1,"North Western Tigray",1,"Tahitay Adiyabo",1,3,1310.83203125
1,"North Western Tigray",1,"Laelay Adiabo",2,3,1801.46801757813
1,"North Western Tigray",1,"Medebay Zana",3,3,1801.46801757813
1,"North Western Tigray",1,"Asegede Tsimbila",5,3,1310.83203125
1,"North Western Tigray",1,"Tselemt",6,3,1310.83203125
1,"Central Tigray",2,"Mereb Leha",1,3,1617.37194824219
1,"Central Tigray",2,"Ahiferom",2,3,2428.77197265625
1,"Central Tigray",2,"Wereilehi",3,3,2428.77197265625
1,"Central Tigray",2,"Adwa",4,3,2428.77197265625
1,"Central Tigray",2,"Tahitay Maychew",6,3,1617.37194824219
1,"Central Tigray",2,"NADER ADET",7,3,2428.77197265625
1,"Central Tigray",2,"Kola Temben",8,3,2428.77197265625
1,"Central Tigray",2,"Degua Temben",9,3,2428.77197265625
1,"Eastern Tigray",3,"Gulo Meheda",1,3,1774.25402832031
1,"Eastern Tigray",3,"Saesi Tsadamba",3,3,1774.25402832031
1,"Eastern Tigray",3,"Ganta Afeshum",4,3,2458.05810546875
1,"Eastern Tigray",3,"Hawzen",5,3,2458.05810546875
1,"Eastern Tigray",3,"Atsbi Wonberta",7,3,1774.25402832031
1,"South Tigray",4,"Seharti Samre",1,3,1978.38305664063
1,"South Tigray",4,"Hintalo Wajirat",3,3,2214.912109375
1,"South Tigray",4,"Ambalage",4,3,1978.38305664063
1,"South Tigray",4,"Endamehone",5,3,2214.912109375
1,"South Tigray",4,"Rya Azebo",6,3,1978.38305664063
1,"South Tigray",4,"Ofla",8,3,2214.912109375
1,"Western Tigray",5,"Qafta Humera",1,3,1310.83203125
1,"Western Tigray",5,"Welqayet",2,3,1801.46801757813
1,"Western Tigray",5,"Tsegede",3,3,1310.83203125
3,"North Gondar",1,"Adiarikay",1,3,1333.09497070313
3,"North Gondar",1,"Debark",4,3,2183.88598632813
3,"North Gondar",1,"Lay Armachew",8,3,2807.50610351563
3,"North Gondar",1,"Gondar Zuriya",10,3,2183.88598632813
3,"North Gondar",1,"DEMBIA",11,3,2183.88598632813
3,"North Gondar",1,"Chilga",12,3,2807.50610351563
3,"North Gondar",1,"Quara",14,3,2807.50610351563
3,"North Gondar",1,"Merab Belesa",16,3,2183.88598632813
3,"South Gondar",2,"Ebinat",1,3,1767.791015625
3,"South Gondar",2,"Libokemkem",2,3,2620.80688476563
3,"South Gondar",2,"Fogera",3,3,2620.80688476563
3,"South Gondar",2,"Farta",4,3,2620.80688476563
3,"South Gondar",2,"Lay Gayint",5,3,1767.791015625
3,"South Gondar",2,"Simada",7,3,1767.791015625
3,"South Gondar",2,"Dera",9,3,2620.80688476563
3,"North Wollo",3,"Bugna",1,3,1511.72497558594
3,"North Wollo",3,"Kobo",2,3,1594.55004882813
3,"North Wollo",3,"Gidan",3,3,1511.72497558594
3,"North Wollo",3,"Meket",4,3,1594.55004882813
3,"North Wollo",3,"Wadla",5,3,1594.55004882813
3,"North Wollo",3,"Guba Lafto",7,3,1594.55004882813
3,"North Wollo",3,"Habru",8,3,1511.72497558594
3,"South Wolo",4,"Kutaber",3,3,1376.97705078125
3,"South Wolo",4,"Werebabo",6,3,1376.97705078125
3,"South Wolo",4,"Kalu",7,3,2004.04797363281
3,"South Wolo",4,"Dese Zuriya",9,3,2004.04797363281
3,"South Wolo",4,"Sayinit",11,3,2004.04797363281
3,"SOUTH WOLO",4,"DEBRESINA",12,3,1376.97705078125
3,"South Wolo",4,"Jama",14,3,2004.04797363281
3,"South Wolo",4,"WOGIDI",16,3,2004.04797363281
3,"North Shewa",5,"Mida Oromo",1,3,1875.5400390625
3,"North Shewa",5,"Moretna Juru",4,3,2500.30004882813
3,"North Shewa",5,"Antsokiya Gemza",7,3,1875.5400390625
3,"North Shewa",5,"MENZ MAMA MIDIR",9,3,2203.39501953125
3,"North Shewa",5,"Mojana Wedera",11,3,2203.39501953125
3,"North Shewa",5,"Angolelana Tera",13,3,2500.30004882813
3,"North Shewa",5,"Ankober",15,3,1875.5400390625
3,"East Gojjam",6,"Huletej Enese",2,3,1826.95300292969
3,"East Gojjam",6,"Gonchasiso enese",3,3,1826.95300292969
3,"East Gojjam",6,"Enebise Sar Midir",4,3,1172.44396972656
3,"East Gojjam",6,"Enemay",6,3,2246.64111328125
